miRNA,cm1,cm2,cm4,cp1,cp2,cp3
cqu-bantam-5p_MIMAT0014420,14985,18493,25413,6097,14419,8857
cqu-bantam-3p_MIMAT0014421,480152,469572,762220,230795,430619,209778
Cpp-bantam_supercont3.65:199694e199763,757884,833302,1132446,409552,768190,601874
Cpp-miR-1000_supercont3.153:102798e102891:,37506,40052,49726,13101,28155,13948
Cpp-miR-100_supercont3.4:271404e271484:,420048,376513,438917,169430,272496,211756
cqu-miR-100-3p_MIMAT0014388,6037,7178,8582,3828,7015,4258
Cpp-miR-10-3p_supercont3.12:95990e96072:,8872,8380,13850,3181,7894,6245
cqu-miR-10-5p_MIMAT0014404,73999,69716,99901,26729,53788,38606
Cpp-miR-11-3p_supercont3.153:639659e639743:,284749,261474,449673,113468,240138,134456
cqu-miR-11-5p_MIMAT0014406,17749,21347,33973,12139,17896,11848
Cpp-miR-124_supercont3.8:2074719e2074803:,38508,51420,41887,10832,24298,15774
Cpp-novel-miR12_supercont3.8:2074722e2074801:,1032,1406,1981,697,1393,784
Cpp-miR-125_supercont3.4:280965e281043:,128169,160108,165488,36207,81936,63091
cqu-miR-125-3p_MIMAT0014356,1765,1803,2232,764,1455,1005
Cpp-miR-12-3p_supercont3.153:639666e639741:,17199,19770,25068,4707,11708,7391
Cpp-miR-133-3p_supercont3.1189:55672e55785:,18383,18219,10939,3136,7193,6359
Cpp-miR-137-3p_supercont3.1714:27556e27636:,45937,42870,59333,15340,30995,22347
Cpp-miR-13_supercont3.366:116983e117072:,183612,260470,306651,66534,158733,97079
Cpp-miR-14-3p_supercont3.676:52241e52327:,612287,873107,1176356,233366,760944,496111
Cpp-miR-184-3p_supercont3.567:240302e240382:,912419,1052961,1224526,537356,761614,561957
Cpp-miR-1889_supercont3.57:562539e562677:,334316,432626,571795,121781,269094,186570
cqu-miR-1889-3p_MIMAT0014441,2712,3294,5072,1666,2881,2225
Cpp-miR-1890_supercont3.64:982778e982862:,8778,8471,12592,2823,6405,3742
Cpp-novel-miR1_supercont3.64:982778e982859:,1380,1463,2129,1497,2432,1785
Cpp-miR-1891_supercont3.829:180333e180418:,123427,225867,300757,122327,237811,187052
Cpp-novel-miR8-3p_supercont3.829:180337e180416:,28493,32947,45430,16471,27500,14315
Cpp-miR-190-1_supercont3.181:347902e347986:,13917,8868,13158,2951,8779,5570
Cpp-miR-1-3p_supercont3.78:246202e246281:,1708026,2677067,2999592,684343,1201777,1222369
Cpp-miR-210-3p_supercont3.549:157647e157724:,25272,22636,23627,6160,13792,8334
cqu-miR-210-5p_MIMAT0014396,6007,7578,7611,1983,3520,2258
Cpp-miR-252-1_supercont3.1787:6793e6867:,297019,225905,339469,111763,197450,133344
cqu-miR-252-3p_MIMAT0014374,1355,1192,1864,720,1294,684
Cpp-miR-263_supercont3.219:351799e351880:,449156,637397,770615,239069,364968,363312
Cpp-miR-275_supercont3.291:329765e329845:,206428,241408,281455,64940,147320,103001
Cpp-miR-276-3p-1_supercont3.136:340857e340942:,1025752,1140418,1187150,351295,733816,550897
cqu-miR-276-5p_MIMAT0014392,36422,45213,59589,14233,32743,16296
Cpp-miR-277_supercont3.36:1153726e1153817:,347966,363656,563202,112883,249505,181193
Cpp-miR-278-3p_supercont3.16:1026152e1026243:,44711,35778,59714,15138,33680,15559
Cpp-miR-279-3p_supercont3.19:1441114e1441197:,217899,252916,378219,66722,155460,111682
cqu-miR-279-5p_MIMAT0014417,393,505,556,176,352,205
Cpp-miR-281-1_supercont3.1661:13247e13325:þ,18999,9045,10714,4582,6517,4775
cqu-miR-281-3p_MIMAT0014359,13574,5390,7231,1819,3705,2160
Cpp-miR-283_supercont3.57:559440e559549:þ,32633,23421,33290,6193,12433,6062
Cpp-miR-285-3p_supercont3.98:262280e262362:,810307,822536,1225716,268125,621414,519818
cqu-miR-285-5p_MIMAT0014410,896,674,1184,190,524,396
Cpp-miR-2941-3p-1_supercont3.5:753632e753715:,1337,909,626,75,54,79
Cpp-miR-2951-1_supercont3.1464:4408e4477:,109067,142603,229301,43646,87264,77923
cqu-miR-2951-5p_MIMAT0014432,108792,141602,228381,42932,86276,76451
cqu-miR-2951-3p_MIMAT0014433,150616,201899,281950,46656,111016,88423
Cpp-miR-2952-3p_supercont3.5:753920e753983:,803,883,575,37,42,15
Cpp-miR-2-3p-2_supercont3.366:116853e116935:,232903,298481,375950,92709,171127,98740
cqu-miR-305-5p_MIMAT0014382,3448,3114,4392,928,1887,1259
cqu-miR-305-3p_MIMAT0014383,6024,5595,8694,3512,5908,3985
Cpp-miR-306_supercont3.83:80431e80502:,142382,143264,241227,60979,129774,62186
cqu-miR-308_MIMAT0014429,143,96,111,18,64,51
Cpp-miR-315_supercont3.438:61916e61999:,32667,26932,40189,8914,25572,10846
Cpp-miR-316_supercont3.496:152458e152539:,3255,5115,6239,1697,3788,2725
Cpp-miR-317-3p-1_supercont3.36:1133161e1133241:,253064,283906,374108,87832,193038,133014
cqu-miR-317-5p_MIMAT0014384,380,561,506,152,396,213
Cpp-miR-31_supercont3.559:256532e256609:,18045,20281,26372,7620,13526,12681
cqu-miR-31-3p_MIMAT0014426,2605,3145,4196,1179,2672,1538
Cpp-miR-375-1_supercont3.4:25124e25212:,76,128,61,79,45,46
Cpp-miR-71_supercont3.366:117493e117583:,71503,93549,121830,37014,68330,56431
cqu-miR-71-3p_MIMAT0014401,70854,98997,130569,21333,58401,34054
Cpp-miR-79-3p_supercont3.83:80579e80662:,1965,1545,2077,694,1195,809
cqu-miR-79_MIMAT0014430,207,254,221,66,91,61
Cpp-miR-7_supercont3.1:3357343e3357422:,1731832,2143425,3013255,972037,1867032,1229122
Cpp-miR-87_supercont3.431:379743e379819:,110279,194728,260225,65405,145815,108660
Cpp-miR-8_supercont3.40:815854e815935:,486365,374847,490603,152812,291752,225368
cqu-miR-8-5p_MIMAT0014408,81254,102225,159180,23298,39472,29193
Cpp-miR-92a_supercont3.722:174902e174982:,10060,10331,12828,1914,4415,3583
Cpp-miR-932-3p_supercont3.261:301401e301481:,29625,39407,42805,15721,21376,19115
cqu-miR-932-5p_MIMAT0014414,16979,18055,18388,3774,9270,5403
Cpp-miR-957-3p_supercont3.787:29537e29622:,263669,303823,427284,140853,266896,154164
Cpp-novel-miR13supercont3.787:29538e29623:,262,150,296,116,251,143
Cpp-miR-965-3p_supercont3.48:484122e484208:,92,225,178,76,186,54
Cpp-miR-970-3p_supercont3.495:35917e36003:,161006,145867,196978,56863,105004,85156
cqu-miR-980_MIMAT0014428,1510,1227,1907,207,738,454
Cpp-miR-981_supercont3.431:151310e151408:,62191,40905,49332,18165,37752,20838
Cpp-miR-988-3p_supercont3.791:14282e14361:,3581,5222,4632,1535,3180,2097
cqu-miR-988-5p_MIMAT0014362,545,635,1020,289,601,463
Cpp-miR-989-3p_supercont3.315:321306e321394:,4959,887,301,98,198,83
Cpp-miR-993_supercont3.12:55477e55565:,177,322,162,40,65,113
cqu-miR-993-3p_MIMAT0014376,890,905,1439,257,684,514
Cpp-miR-996_supercont3.19:1437000e1437085:,842,1401,1739,523,1182,695
Cpp-novel-miR4_supercont3.153:639486e639575:,297,153,452,605,795,747
cqu-miR-998_MIMAT0014445,57109,65114,79353,19832,43447,27569
