#miRNA,read_count,precursor,total,cm1,cm2,cm4,cp1,cp2,cp3,cm1(norm),cm2(norm),cm4(norm),cp1(norm),cp2(norm),cp3(norm)
cqu-bantam-5p_MIMAT0014420,88264,cqu-bantam_MI0013610,88264,14985,18493,25413,6097,14419,8857,770.05,836.14,892.26,774.9,927.63,788.89
cqu-bantam-3p_MIMAT0014421,2583136,cqu-bantam_MI0013610,2583136,480152,469572,762220,230795,430619,209778,24673.94,21231.13,26761.98,29332.95,27703.27,18684.9
Cpp-bantam_supercont3.65:199694e199763,4503248,cqu-let-7_MI0013570,4503248,757884,833302,1132446,409552,768190,601874,38945.98,37676.75,39760.82,52052.11,49420.42,53608.84
cqu-let-7-3p_MIMAT0014367,148,cqu-let-7_MI0013570,148,32,60,39,2,15,0,1.64,2.71,1.37,0.25,0.97,0
Cpp-miR-1000_supercont3.153:102798e102891:,182488,cqu-mir-1000_MI0013599,182488,37506,40052,49726,13101,28155,13948,1927.35,1810.9,1745.91,1665.07,1811.31,1242.35
Cpp-miR-100_supercont3.4:271404e271484:,1889160,cqu-mir-100_MI0013585,1889160,420048,376513,438917,169430,272496,211756,21585.33,17023.58,15410.62,21533.75,17530.65,18861.08
cqu-miR-100-3p_MIMAT0014388,36898,cqu-mir-100_MI0013585,36898,6037,7178,8582,3828,7015,4258,310.23,324.54,301.32,486.52,451.3,379.26
Cpp-miR-10-3p_supercont3.12:95990e96072:,48422,cqu-mir-10_MI0013600,48422,8872,8380,13850,3181,7894,6245,455.91,378.89,486.28,404.29,507.85,556.24
cqu-miR-10-5p_MIMAT0014404,362739,cqu-mir-10_MI0013600,362739,73999,69716,99901,26729,53788,38606,3802.64,3152.13,3507.58,3397.13,3460.38,3438.63
Cpp-miR-1174_supercont3.86:865891e865964:,305,cqu-mir-1174_MI0013561,305,264,3,9,4,22,3,13.57,0.14,0.32,0.51,1.42,0.27
Cpp-miR-117_supercont3.86:866106e866187:,298,cqu-mir-1175_MI0013587,298,231,28,22,2,13,2,11.87,1.27,0.77,0.25,0.84,0.18
cqu-miR-1175-3p_MIMAT0014391,70,cqu-mir-1175_MI0013587,70,69,0,0,0,1,0,3.55,0,0,0,0.06,0
Cpp-miR-11-3p_supercont3.153:639659e639743:,1483958,cqu-mir-11_MI0013601,1483958,284749,261474,449673,113468,240138,134456,14632.62,11822.23,15788.27,14421.24,15448.94,11975.98
cqu-miR-11-5p_MIMAT0014406,114952,cqu-mir-11_MI0013601,114952,17749,21347,33973,12139,17896,11848,912.08,965.18,1192.81,1542.81,1151.31,1055.3
Cpp-miR-124_supercont3.8:2074719e2074803:,182719,cqu-mir-124_MI0013565,182719,38508,51420,41887,10832,24298,15774,1978.84,2324.89,1470.68,1376.7,1563.18,1404.99
Cpp-novel-miR12_supercont3.8:2074722e2074801:,7293,cqu-mir-124_MI0013565,7293,1032,1406,1981,697,1393,784,53.03,63.57,69.55,88.59,89.62,69.83
Cpp-miR-125_supercont3.4:280965e281043:,634999,cqu-mir-125_MI0013562,634999,128169,160108,165488,36207,81936,63091,6586.32,7239.09,5810.38,4601.74,5271.24,5619.51
